"gene_id","n_pathways","pathways","log2FC_5v0","padj_5v0","log2FC_15v5","padj_15v5","sig_class_5v0"
"Dcc",5,"CNSdiff, migration, projGuid, CNSdev, axonGuid",0.363,0.326,-0.298,1,"leading-edge only"
"Cntn2",5,"CNSdiff, migration, projGuid, CNSdev, axonGuid",0.255,0.0139,-0.218,0.192,"DEG (padj<0.05)"
"Nrp2",5,"CNSdiff, migration, projGuid, CNSdev, axonGuid",0.163,0.387,-0.149,1,"leading-edge only"
"Nrp1",5,"CNSdiff, migration, projGuid, CNSdev, axonGuid",0.14,0.205,-0.158,0.382,"leading-edge only"
"Rac1",5,"CNSdiff, migration, projGuid, CNSdev, axonGuid",0.102,0.379,-0.038,1,"leading-edge only"
"Mycbp2",4,"CNSdiff, projGuid, CNSdev, axonGuid",0.563,0.293,-0.259,1,"leading-edge only"
"Plxna4",4,"CNSdiff, projGuid, CNSdev, axonGuid",0.46,0.478,-0.321,1,"leading-edge only"
"Nova2",4,"CNSdiff, projGuid, CNSdev, axonGuid",0.246,0.115,-0.15,1,"leading-edge only"
"Slit2",4,"CNSdiff, projGuid, CNSdev, axonGuid",0.238,0.52,-0.176,1,"leading-edge only"
"Ephb3",4,"CNSdiff, projGuid, CNSdev, axonGuid",0.192,0.999,-0.17,1,"leading-edge only"
"Robo1",4,"CNSdiff, projGuid, CNSdev, axonGuid",0.191,0.0759,-0.17,0.452,"trend (padj<0.10)"
"Plxna1",4,"CNSdiff, migration, projGuid, CNSdev",0.187,0.828,-0.177,1,"leading-edge only"
"Robo2",4,"CNSdiff, projGuid, CNSdev, axonGuid",0.169,0.21,-0.151,0.82,"leading-edge only"
"Ephb1",4,"CNSdiff, projGuid, CNSdev, axonGuid",0.154,0.127,-0.088,1,"leading-edge only"
"Nfib",4,"CNSdiff, projGuid, CNSdev, axonGuid",0.144,0.443,-0.167,0.696,"leading-edge only"
"Unc5d",4,"CNSdiff, migration, projGuid, axonGuid",0.136,0.919,-0.137,1,"leading-edge only"
"Arhgap35",4,"CNSdiff, projGuid, CNSdev, axonGuid",0.104,0.478,-0.087,1,"leading-edge only"
"Epha4",4,"CNSdiff, projGuid, CNSdev, axonGuid",0.101,0.838,-0.127,1,"leading-edge only"
"Reln",3,"migration, projGuid, axonGuid",0.396,0.919,-0.286,1,"leading-edge only"
"Celsr3",3,"migration, projGuid, axonGuid",0.245,0.91,-0.187,1,"leading-edge only"
"Zmiz1",3,"CNSdiff, migration, CNSdev",0.241,0.767,-0.154,1,"leading-edge only"
"Fzd3",3,"migration, projGuid, axonGuid",0.228,0.167,-0.161,1,"leading-edge only"
"Lhx6",3,"CNSdiff, migration, CNSdev",0.22,0.999,-0.017,1,"leading-edge only"
"Cxcr4",3,"migration, projGuid, axonGuid",0.187,0.913,-0.158,1,"leading-edge only"
"Ntrk2",3,"CNSdiff, migration, CNSdev",0.152,0.387,-0.118,1,"leading-edge only"
"Gli3",3,"CNSdiff, projGuid, axonGuid",0.149,0.959,0.001,1,"leading-edge only"
"Chl1",3,"migration, projGuid, axonGuid",0.119,0.56,-0.135,0.935,"leading-edge only"
"L1cam",3,"CNSdiff, projGuid, CNSdev",0.106,0.999,-0.143,1,"leading-edge only"
"Lmo4",3,"CNSdiff, projGuid, axonGuid",0.103,0.73,-0.077,1,"leading-edge only"
"Myh10",3,"migration, projGuid, axonGuid",0.102,0.847,-0.102,1,"leading-edge only"
"Bcl11b",3,"CNSdiff, projGuid, axonGuid",0.097,0.71,-0.039,1,"leading-edge only"
"Dclk1",3,"CNSdiff, migration, CNSdev",0.075,0.891,-0.06,1,"leading-edge only"
"Neo1",3,"migration, projGuid, axonGuid",0.074,0.978,-0.086,1,"leading-edge only"
"Crkl",3,"CNSdiff, migration, CNSdev",0.052,0.999,-0.046,1,"leading-edge only"
"Dcx",3,"CNSdiff, migration, CNSdev",0.049,0.999,-0.067,1,"leading-edge only"
"Tenm4",2,"projGuid, axonGuid",0.628,0.527,-0.386,1,"leading-edge only"
"Hspg2",2,"projGuid, axonGuid",0.605,NA,-0.5,1,"leading-edge only"
"Ank3",2,"projGuid, axonGuid",0.513,0.476,-0.268,1,"leading-edge only"
"Lrp2",2,"projGuid, axonGuid",0.506,NA,-0.142,1,"leading-edge only"
"Erbb4",2,"CNSdiff, migration",0.432,0.141,-0.356,0.805,"leading-edge only"
"Lama5",2,"projGuid, axonGuid",0.413,0.721,-0.014,1,"leading-edge only"
"Epha6",2,"projGuid, axonGuid",0.412,NA,-0.125,1,"leading-edge only"
"Lrp1",2,"projGuid, axonGuid",0.4,0.907,-0.281,1,"leading-edge only"
"Trio",2,"projGuid, axonGuid",0.319,0.59,-0.217,1,"leading-edge only"
"Slit3",2,"projGuid, axonGuid",0.314,0.689,-0.224,1,"leading-edge only"
"Nfasc",2,"projGuid, axonGuid",0.299,0.404,-0.186,1,"leading-edge only"
"Tenm2",2,"projGuid, axonGuid",0.292,0.895,-0.301,1,"leading-edge only"
"Bmpr2",2,"projGuid, axonGuid",0.257,0.112,-0.213,0.696,"leading-edge only"
"Slit1",2,"projGuid, axonGuid",0.256,0.127,-0.214,0.711,"leading-edge only"
"Tenm3",2,"projGuid, axonGuid",0.253,0.883,-0.174,1,"leading-edge only"
"Kalrn",2,"projGuid, axonGuid",0.25,0.891,-0.155,1,"leading-edge only"
"Spg11",2,"CNSdiff, CNSdev",0.236,0.394,-0.119,1,"leading-edge only"
"Dlx5",2,"CNSdiff, projGuid",0.233,NA,-0.159,1,"leading-edge only"
"Sema5a",2,"projGuid, axonGuid",0.216,0.635,-0.177,1,"leading-edge only"
"Dscaml1",2,"projGuid, axonGuid",0.21,0.567,-0.15,1,"leading-edge only"
"Szt2",2,"CNSdiff, CNSdev",0.203,0.654,-0.239,1,"leading-edge only"
"Unc5c",2,"projGuid, axonGuid",0.195,0.907,-0.176,1,"leading-edge only"
"Megf8",2,"projGuid, axonGuid",0.192,0.297,-0.092,1,"leading-edge only"
"Ark2c",2,"projGuid, axonGuid",0.172,0.313,-0.164,0.846,"leading-edge only"
"Mdga2",2,"CNSdiff, migration",0.171,0.73,-0.116,1,"leading-edge only"
"Taok1",2,"CNSdiff, CNSdev",0.171,0.387,-0.157,1,"leading-edge only"
"Met",2,"CNSdiff, migration",0.169,0.785,-0.157,1,"leading-edge only"
"Map2",2,"CNSdiff, CNSdev",0.164,0.21,-0.117,1,"leading-edge only"
"Klf7",2,"projGuid, axonGuid",0.155,0.348,-0.174,0.631,"leading-edge only"
"Ptprj",2,"projGuid, axonGuid",0.143,0.592,-0.189,0.696,"leading-edge only"
"Zswim6",2,"CNSdiff, migration",0.143,0.643,-0.188,0.785,"leading-edge only"
"Sptbn4",2,"CNSdiff, CNSdev",0.141,0.639,-0.124,1,"leading-edge only"
"Ephb2",2,"projGuid, axonGuid",0.139,0.394,-0.114,1,"leading-edge only"
"Mdga1",2,"CNSdiff, migration",0.139,0.46,-0.119,1,"leading-edge only"
"Prkca",2,"CNSdiff, CNSdev",0.137,0.828,-0.126,1,"leading-edge only"
"Rtn4r",2,"projGuid, axonGuid",0.137,0.606,-0.014,1,"leading-edge only"
"Diaph1",2,"projGuid, axonGuid",0.111,0.754,-0.101,1,"leading-edge only"
"Dscam",2,"projGuid, axonGuid",0.11,0.924,-0.125,1,"leading-edge only"
"Efnb1",2,"projGuid, axonGuid",0.106,0.478,-0.042,1,"leading-edge only"
"Enah",2,"projGuid, axonGuid",0.101,0.833,-0.103,1,"leading-edge only"
"Ptch1",2,"CNSdiff, projGuid",0.099,0.999,-0.153,1,"leading-edge only"
"Chrnb2",2,"CNSdiff, CNSdev",0.097,0.905,-0.097,1,"leading-edge only"
"Atp7a",2,"CNSdiff, CNSdev",0.095,0.999,-0.186,1,"leading-edge only"
"Cdh4",2,"projGuid, axonGuid",0.095,0.838,-0.03,1,"leading-edge only"
"Epha7",2,"projGuid, axonGuid",0.09,0.999,-0.124,1,"leading-edge only"
"Vangl2",2,"projGuid, axonGuid",0.088,0.818,-0.08,1,"leading-edge only"
"Cyfip2",2,"projGuid, axonGuid",0.086,0.833,-0.057,1,"leading-edge only"
"Sema4c",2,"projGuid, axonGuid",0.084,0.865,-0.071,1,"leading-edge only"
"Ncam1",2,"projGuid, axonGuid",0.083,0.919,-0.076,1,"leading-edge only"
"Lingo1",2,"CNSdiff, CNSdev",0.081,0.916,-0.017,1,"leading-edge only"
"Sema6a",2,"migration, projGuid",0.079,0.999,-0.087,1,"leading-edge only"
"Zeb2",2,"CNSdiff, CNSdev",0.079,0.833,-0.139,0.544,"leading-edge only"
"Psen1",2,"CNSdiff, migration",0.073,0.999,-0.08,1,"leading-edge only"
"Nectin1",2,"projGuid, axonGuid",0.07,0.942,-0.105,1,"leading-edge only"
"Epha5",2,"projGuid, axonGuid",0.065,0.938,-0.081,1,"leading-edge only"
"Ctnnb1",2,"CNSdiff, migration",0.064,0.891,-0.043,1,"leading-edge only"
"Tbr1",2,"CNSdiff, projGuid",0.059,0.999,-0.064,1,"leading-edge only"
"Nell2",2,"projGuid, axonGuid",0.054,0.938,-0.049,1,"leading-edge only"
