"","R1_T0","R1_T5","R1_T15","R2_T0","R2_T5","R2_T15","R3_T0","R3_T5","R3_T15"
"R1_T0",1,0.998721611572103,0.998400465261068,0.998189212137793,0.997946826466382,0.998049503757967,0.997159387358955,0.995995197400733,0.997668301916043
"R1_T5",0.998721611572103,1,0.998252163494076,0.997859421350948,0.998389464977899,0.998192174737525,0.99716597602966,0.996615350355215,0.99767392905725
"R1_T15",0.998400465261068,0.998252163494076,1,0.998157327513164,0.997340745568725,0.998044577574037,0.997276550317297,0.994726687660272,0.996862666998822
"R2_T0",0.998189212137793,0.997859421350948,0.998157327513164,1,0.997891334279782,0.998445808154336,0.997036044087207,0.99503561251518,0.997370762307273
"R2_T5",0.997946826466382,0.998389464977899,0.997340745568725,0.997891334279782,1,0.998354899223762,0.996677714686936,0.996935616286085,0.997754236574872
"R2_T15",0.998049503757967,0.998192174737525,0.998044577574037,0.998445808154336,0.998354899223762,1,0.997221833939716,0.995904953812652,0.997408035945498
"R3_T0",0.997159387358955,0.99716597602966,0.997276550317297,0.997036044087207,0.996677714686936,0.997221833939716,1,0.996462568122428,0.997564513325213
"R3_T5",0.995995197400733,0.996615350355215,0.994726687660272,0.99503561251518,0.996935616286085,0.995904953812652,0.996462568122428,1,0.997983266841588
"R3_T15",0.997668301916043,0.99767392905725,0.996862666998822,0.997370762307273,0.997754236574872,0.997408035945498,0.997564513325213,0.997983266841588,1
